way_id,highway,name,oneway,maxspeed_kmh,node_refs
27298179,residential,улица Шагирова,no,25,299677601 299677604 2447764852 299677646
27298181,residential,,no,25,299677614 2874270503 299677612
27298182,residential,улица Мукаева,no,25,299677612 299677617 299677620
27298183,residential,,no,25,299677622 299677623 299677595
27298185,residential,улица Шорманова,no,25,299677623 299677624 5844569230 3704533997
27298186,residential,,no,25,299677625 299677604
27298188,residential,улица Мукаева,no,25,299677620 2392662886 299677643 9934468888 299677622 299677660 5844569221 299677646
27298191,residential,улица Талдыарал,no,25,299677649 299677620
27298193,residential,улица Батыр Баяан,no,25,299677651 299677649 299677654
27298194,residential,,no,25,299677660 299677664 299677682 2392662891 2392662892
35497763,residential,улица Ардагер,no,25,416258430 2027430138 12862897397 416309596 416258384
35497765,residential,,no,25,416258430 416258442
35507649,residential,улица Желтоксан,no,25,12861091893 2031442965 416309595 416309600
37140946,secondary,Төле би көшесі,yes,50,297456399 4634297771 2245453623
37201983,residential,улица Елемесова,no,25,433047818 2384983008 4133703985 9613220795 4133704089 433047839 433047819 433047823 433047820 559863119 12698791081 3740386367 1969732324 12968627446 4236127110 2384983035 508030736
37201986,service,,no,15,433047831 2384983037 433047833 433047843 433047832
37201988,service,,no,15,433047839 2384983018 4133704100 433047840
38610877,trunk_link,,yes,50,457343291 11293719409 4306213976 457343293 457343295 457343297 11050634529 11205794569 457343298 457343300 457343302
38610879,trunk_link,,yes,50,457343325 457343326 457343328 4306213960 457343329 457343331 457343333 4306213961 457343334 457343335 457343337 457343338 457343339 457343340 457343341 1387368992 4306213962 4306213963 1843909164
38610886,trunk_link,,yes,50,457343512 457343523 457343536 457343544 457343558 457343567 457343573 4306213965 4306213966 457343580 457343600 4306213967 457343611 4306213968 457343619 4306213969 457343625 4306213970 4306213971 457343636 457343269
38610888,trunk,,yes,90,457343272 457343680 457343687 457343695 457343703 457343721 1387368984 457343737 457343743 4306213972 4306213973 457343756 457343761 457343765 4306213974 457343770 457343774 457343775 457343794
38610901,trunk_link,,yes,50,457343820 457343827 457343834 457343838 457343848 457343854 457343858 457343862 457343866 457343877 457343886 457343895 457343902 457343906 457343908 10996331618 1387368972
38610920,secondary,улица Байгазиева,no,50,457343917 10946307375 11207912623 457343918 457343920 457343922 10946307362 457343929 457343931 10960238455 457343934 457343937 457343938 10946307343 457343943 457343946 457343949 11193040745 11193040747 9896321391 457343954 10831596663 9896321399 5185743894 457343959 457343962 457343966 457343967 457343969 457343971 5185743901 457343973 3542729478 457343975 3542729492 457343977 11219609632 11219609627 1867605048 1867605054 11193716795 1867605081 1868788838 11185326901 1866061493 11193716796 457343980 11193716797 1867605132 1866061503 11193716798 1866061521 1390222872 11195168984 457343984 11850224298 1843988239
38610921,trunk_link,,yes,50,457344016 4306213978 4306213979 457344018
38610923,trunk_link,,yes,50,457344057 4306213981 4306213982 457344060 457344061 457344037
38610925,trunk_link,,yes,50,457344085 457344044
38610932,secondary,проспект Абылай хана,no,50,457344085 457344100 457344101 457344104 457344109 457344117 11305063081 457344118 2864763594 11207382578 457344122 11205794476 10864009632 457344125 457344127 457344129 11205520008 13378311144 3184746613 457344131 457344134 5185272861 457344135 457344136 5185272845 457344138 5185272840 457344142 11207329944 457344145 457344148 3188279970 457344149 457344151 11207313835 457344153 457344155 5183461318 457344157 3188279961 11088636396 13369221619 457344159 3184739210 13369221622 2517692201 2517692198 457344160 2476684551 457344162 2517692195 457344164 457344167 457344168 457344170 2517692187 457344173 11204545479 457344175 457344177 457344179 13654284670 457344181 3184735002 3899971917 5029131220 457344183 5029131323 13654038014 11207313766 5029131328 457344185 11266649462 457344187 11266649460 457344188 457344189 4066571013 11277246736 4066571012 457344190 457344192 1867624262 1867624263 457344194 1867624264 457344196 4415994995 2800697948 10990149782 457344198 457344200 10696365520 457344201 11274765059 11274765038 457344203 457344205 1868793675 457344207 457344209 11056228548 457344211 457344213 11056228538 457344217 1843988476 11850200280 1844579933 1844579762 1844579432 1844579325
38956482,tertiary,,no,40,463154765 11084990919 11084990920 11084990921 12771744960 11084990922 11084990923 12771744959 2014728888 4953618800 12771744958 2014728887 12170399228 2014728886 12771744957 12170399229 463154768 12170399230 2014728885 12771744956 12771744972 11835096271 463154769 12771744955 11835071750 11835071994 11835071886 12771744928 12170399231 12771589308 463154770 12170399233 463154771 12170399232 12771744915 12771744914 12771744913 12771714100 12170399234 11217144793 12771744912 12170399235 12771714069 12771714068 463154772 12135751906 12771714067 463154773 12771714066 11372711251 11372711252 11372711250 11372711253 463154775 463154776 11372711242 11372711241 11372711239 11372711240 11372711236 11372711237 11372711238 463154777 11372711232 11372711233 11372711234 11372711235 11372711231 11372711230 463154778 463154779 11372711227 11372711228 11372711229 11372711226 11372711224 11372711225 463154780 11372711220 11372711221 11372711222 11372711223 11372711216 11372711215 11372711217 463154781 11372711218 11372711178 11372711219 11372711179 463154782 11372711180 11372711181 11372711184 11372711182 11372711183 463154783 11372711185 11372711186 11372711187 11372711188 463154784 11372711190 11372711189 463154785 11372711191 11372711192 11372711193 11372711196 11372711195 11372711194 463154786 11372711199 11372711198 11372711197 11372711203 11372711202 463154787 11372711201 11372711200 11372711204 11372711205 463154788 11372711209 11372711208 11372711206 11372711207 11372711212 11372711211 11372711213 11372711210 463154789 463154790 463154791 11372711214 463154792 463154793 13159810012 13159810011 13159810010 463154794 13159810009 463154795 463154796 13159810007 13159810008 13159810006 463154797 13159810005 463154798 13159810004 13159810003 463154799 13159810002 463154800 13159810001 13159803500 463154801 13159803499 13159803498 463154802 13159803497 13159803496 463154804 13159803495 13159803494 13159803493 463154805 13159803492 13159803491 463154806 13159803490 463154807 13159803487 13159803488 13159803489 463154808 13159803486 13159803485 13159803484 13159803483 463154809 13159803482 13159803481 13159803480 463154810 13159803479 11379068270 463154811 463154812 13159810017 463154813 11379068271 13159810015 11379068273 463154814 13159810014 463154815 11379068276 463154816 463154817 13159810013 11379068277 463154818 11379068278 463154819 11379068279 463154820 11379068280 463154821 1753716987 1753716988 463154822 1753716989 1753716991 1753716992 1753716990 463154823 1753716986
41895959,service,,no,15,433047837 518465344 518465341 433047834
42652683,trunk,,yes,90,457344014 3909110459 11428782257 457344019 457344006 11305033324 457344012 457344016
45097018,secondary_link,,yes,30,571749548 11144591140 9942691991 571749549
50117571,residential,улица Каракулова,no,25,636827969 2817569149 2824477786 2264342883 9613182419 2264342877
50117572,residential,улица Талжанова,no,25,636827973 9613185887 2264342881
50117574,residential,улица Симашко,no,25,636827982 2817569160 893636209 2817569163 893636215 893636212 2521040533
50117575,residential,улица Бактыгереева,no,25,636827984 893636214 2817569162 893636218 893636211 2521040434 636827996
50117576,residential,улица Кадырова,no,25,636827986 893636209 893636214 6474883043
50117577,residential,Нұрпейісов көшесі,no,25,636828000 893636215 893636218 1955244769 2245453535
50117578,residential,улица Рипинского,no,25,636828002 893636212 893636211 1955244772 2245453526
50117579,residential,улица Мусабаева,no,25,636828004 13635174541 12165520499 636827996 6433841517 2245453490
54057234,residential,улица Шангытбаева,no,25,681770925 3205366764 681770944 3790084825 2198751615
54057235,residential,улица Алимкулова,no,25,681770921 2872608804 681770949 681771004
54057236,residential,улица Сыздыкова,no,25,681770918 6202516620 9934468891 681771027 2386307374 2386307373
54950211,residential,улица Кыдырбекова,no,25,2824622865 691397335 691397341 691397348 3182456402
54950214,residential,Комсомольский переулок,no,25,2821520041 8411237480 8411237484 7467179129 3182456402 691397377
54950217,residential,улица Айбергенова,no,25,691397385 10268283068 9920934928
54950302,residential,Иырай Жақаев көшесі,no,25,691397387 691397454 691397468 10268283063 10268283064 9920934927
72390218,service,,no,15,6763541406 10285562554 10285562417 2821704872 859750226
72390219,service,,no,15,859750242 10285562416 859750281
72390223,service,улица Шамшырак,no,15,859750252 10285562545 859750297 10285562595 859750281 10285562418 10285562420 10285562553 6763541406 10285562422 859750301 859750262 859750221 2821704870 2821704871
72549193,secondary,,yes,50,4418237808 291170330
72549926,service,,no,15,861193866 861193870 861193869 861193871 861193864
72751887,service,,no,15,870409938 863772027 863772029 875358890 870409957 863772028
72758628,secondary_link,,yes,30,863813958 12219195229 2001352132 12219195228 2001352131 2001352130 12219195227 12219195226 2351433521 3720830844 2001352128 2001352126 2001352127
72994360,service,,no,15,866376190 866376219 866376180
72994362,service,,no,15,866376219 866376253 866376256 866376291
73064918,service,,no,15,866376291 867183960 867183965
73064922,service,,no,15,867183975 10569467113 867183976 866376291
73418011,footway,,no,5,870409957 870409930 875358846 870409980
73418013,footway,,no,5,12918840430 12918840429 12918840428 12918840431 870409943 870409966
73418014,service,,no,15,870409947 875358896 870409969 870409955
